Covidence #,Study ID,Title,Reviewer Name,Study ID,Title,Aim of study,Study design,Study funding sources,Possible conflicts of interest for study authors,Field of application,diagnostic technique,Population description,Inclusion criteria,Exclusion criteria,Total number of studies,Outcome,N of studies of overall,N of studies with meta,N of patients in meta,Metrics:,Type of ML Used Subgroup 1,Type of ML Used Subgroup 2,Specific Algorithm Subgroup 1,Specific Algorithm Subgroup 2,Sensitivity (%) Subgroup 1,Sensitivity (%) Subgroup 2,Specificity (%) Subgroup 1,Specificity (%) Subgroup 2,Positive Likelihood Ratio Subgroup 1,Positive Likelihood Ratio Subgroup 2,Negative Likelihood Ratio Subgroup 1,Negative Likelihood Ratio Subgroup 2,Positive Predictive Value Subgroup 1,Positive Predictive Value Subgroup 2,Negative Predictive Value Subgroup 1,Negative Predictive Value Subgroup 2,Diagnostic Odds Ratio Subgroup 1,Diagnostic Odds Ratio Subgroup 2,"Area Under the Curve (AUC, in %) Subgroup 1","Area Under the Curve (AUC, in %) Subgroup 2",I2 (%) Subgroup 1,I2 (%) Subgroup 2,p-value Subgroup 1,p-value Subgroup 2,Publication Bias (%) Subgroup 1,Publication Bias (%) Subgroup 2,Dice score (%) Subgroup 1,Dice score (%) Subgroup 2,Q test Subgroup 1,Q test Subgroup 2,Accuracy Subgroup 1,Accuracy Subgroup 2,"False Positive Proportion (FPP, in %) Subgroup 1","False Positive Proportion (FPP, in %) Subgroup 2","False Negative Proportion (FNP, in %) Subgroup 1","False Negative Proportion (FNP, in %) Subgroup 2",1. Did the research questions and inclusion criteria for the review include the components of PICO,1. Did the research questions and inclusion criteria for the review include the components of PICO supporting text,2. Did the report of the review contain an explicit statement that the review methods were  established prior to the conduct of the review and did the report justify any significant deviations  from the protocol? ,2. Did the report of the review contain an explicit statement that the review methods were  established prior to the conduct of the review and did the report justify any significant deviations  from the protocol?  supporting text,3. Did the review authors explain their selection of the study designs for inclusion in the review? ,3. Did the review authors explain their selection of the study designs for inclusion in the review?  supporting text,4. Did the review authors use a comprehensive literature search strategy?  ,4. Did the review authors use a comprehensive literature search strategy?   supporting text,5. Did the review authors perform study selection in duplicate? ,5. Did the review authors perform study selection in duplicate?  supporting text,6. Did the review authors perform data extraction in duplicate? ,6. Did the review authors perform data extraction in duplicate?  supporting text,7. Did the review authors provide a list of excluded studies and justify the exclusions? ,7. Did the review authors provide a list of excluded studies and justify the exclusions?  supporting text,8. Did the review authors describe the included studies in adequate detail? ,8. Did the review authors describe the included studies in adequate detail?  supporting text,9. Did the review authors use a satisfactory technique for assessing the risk of bias (RoB) in individual studies that were included in the review? RCTs ,9. Did the review authors use a satisfactory technique for assessing the risk of bias (RoB) in individual studies that were included in the review? RCTs  supporting text,9. Did the review authors use a satisfactory technique for assessing the risk of bias (RoB) in individual studies that were included in the review? NRSI ,9. Did the review authors use a satisfactory technique for assessing the risk of bias (RoB) in individual studies that were included in the review? NRSI  supporting text,10. Did the review authors report on the sources of funding for the studies included in the review? ,10. Did the review authors report on the sources of funding for the studies included in the review?  supporting text,11. If meta-analysis was performed did the review authors use appropriate methods for statistical combination of results? RCTs ,11. If meta-analysis was performed did the review authors use appropriate methods for statistical combination of results? RCTs  supporting text,11. If meta-analysis was performed did the review authors use appropriate methods for statistical combination of results? For NRSI ,11. If meta-analysis was performed did the review authors use appropriate methods for statistical combination of results? For NRSI  supporting text,"12.  If meta-analysis was performed, did the review authors assess the potential impact of RoB in individual studies on the results of the meta-analysis or other evidence synthesis?  ","12.  If meta-analysis was performed, did the review authors assess the potential impact of RoB in individual studies on the results of the meta-analysis or other evidence synthesis?   supporting text",13.  Did the review authors account for RoB in individual studies when interpreting/ discussing the results of the review? ,13.  Did the review authors account for RoB in individual studies when interpreting/ discussing the results of the review?  supporting text,"14.  Did the review authors provide a satisfactory explanation for, and discussion of, any heterogeneity observed in the results of the review? ","14.  Did the review authors provide a satisfactory explanation for, and discussion of, any heterogeneity observed in the results of the review?  supporting text",15. If they performed quantitative synthesis did the review authors carry out an adequate investigation of publication bias (small study bias) and discuss its likely impact on the results of the review?  ,15. If they performed quantitative synthesis did the review authors carry out an adequate investigation of publication bias (small study bias) and discuss its likely impact on the results of the review?   supporting text,"16.  Did the review authors report any potential sources of conflict of interest, including any funding they received for conducting the review?","16.  Did the review authors report any potential sources of conflict of interest, including any funding they received for conducting the review? supporting text"
4421,Bharati 2020,Artificial neural network based breast cancer screening: A comprehensive review,JIREGNA OLANI KEDIDA,#4421,Artificial neural network based breast cancer screening: A comprehensive review,This paper provides a systematic review of the literature on artificial neural network (ANN) based models for the diagnosis of breast cancer via mammography,Other: A Comprehensive Review,,,breast cancer,X- Ray,"The article reviews various studies that focus on the use of artificial neural network (ANN) models for the diagnosis of breast cancer via mammography. The population includes women diagnosed with breast cancer, with a focus on different types of breast tumors such as malignant (cancerous) and benign (non-cancerous) tumors.","Studies that used ANN-based models for breast cancer diagnosis.
Studies that applied different deep learning models to publicly available datasets.
Studies that used mammography as the primary diagnostic technique.
Studies that reported performance metrics such as accuracy, sensitivity, specificity, and area under the curve (AUC).","Studies that did not use ANN-based models for breast cancer diagnosis.
Studies that did not use mammography as the primary diagnostic technique.
Studies that did not report relevant performance metrics.
Studies that focused solely on segmentation and feature extraction methods without classification.",21,"For predicting breast cancer, several automated systems are already developed using different medical imaging modalities",21,17,The studies reviewed included various datasets with different sample sizes,,Radiomics,DL,"PCA-Net, CNN, DBN, SDAE, ML-NN, SNN","ResNet-50, ResNet-101, VGG16, VGG19, GoogleNet, Inception-v2, AlexNet, Faster R-CNN, YOLO, LeNet, LSTM",78.5,81.35,85.05,80.45,,,,,69.6,,86,,,,81.95,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,Marwah 2021,Artificial intelligence imaging applications in the differentiation of true tumour progression from treatment-related effects in brain tumours,JIREGNA OLANI KEDIDA,#3411,Artificial intelligence imaging applications in the differentiation of true tumour progression from treatment-related effects in brain tumours,"to determine the efficacy of machine learning models to differentiate treatment-related effects (TRE), consisting of pseudoprogression (PsP) and radiation necrosis (RN), and true tumour progression (TTP)",Meta analysis,"Arian Lasocki: Grant: Peter MacCallum Cancer Foundation, Comments: Arian Lasocki was supported by a Peter MacCallum Cancer Foundation Discovery Partner Fellowship",The authors declare no conflict of interest,brain cancer,MRI,"1,081 papers","(i) Differentiated either glioma or metastasis TRE (RN and/or PsP) using computational imaging features, predefined (such as radiomics) or DL-derived; 
(ii) involved treatment with radiotherapy and/or chemotherapy; 
(iii) included adequate information that met the ML processing pipeline requirements, such as imaging acquisition parameters, segmentation method, features used, ML models and classification of results through follow-up or histopathology; 
(iv) reported an AUC from a ROC curve or precision recall curve. The associated confidence interval or standard error was reported where available. If the ML processing pipeline characteristics were changed between experimentation, only the highest value was used. Only the test results (or validation) from ML models were used","Studies were excluded if they were non-peer reviewed journal articles, reviews, studies focussing on paediatric patients, opinion articles and
non-English language articles",1081,Differentiation of true tumour progression (TTP) from treatment-related effects (TRE) in brain tumours using machine learning models,25,9,,,ML,ML,"CNN, SVM, Random Forest, Logistic Regression, DL","CNN, SVM, Random Forest, Logistic Regression, DL",95.2,95.2,82.4,82.4,,,,,,,,,6.55,6.36,98,98,,,P = 0.0291,P = 0.0291,P = 0.72,P = 0.72,,,,,88.02,88.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3157,Bedrikovetski 2022,Artificial intelligence for lymph node assessment on preoperative staging in colorectal cancer: A systematic review and meta-analysis,Tawadod Abdelgader Abdalla Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,Yes,,Partial Yes,,Yes,,No,,No,,Yes,,Includes only NRSI ,,Partial Yes,,Yes,,No meta-analysis conducted ,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
3157,Bedrikovetski 2022,Artificial intelligence for lymph node assessment on preoperative staging in colorectal cancer: A systematic review and meta-analysis,JIREGNA OLANI KEDIDA,#3157,Artificial intelligence for lymph node assessment on preoperative staging in colorectal cancer: A systematic review and meta-analysis,To evaluate the diagnostic accuracy of AI models used for detection of lymph node metastasis on pre-operative staging imaging for colorectal cancer,Meta analysis,"This work was supported by the Colorectal Surgical Society of Australia and New Zealand (CSSANZ) Foundation Grant and Australian Research Council Discovery Project Grant 180103232. The funding bodies played no role in the design of the study and collection, analysis, and interpretation of data and in writing the manuscript",The authors declare that they have no competing interests,colorectal cancer,MRI; CT scan,"literature search of PubMed (MEDLINE), EMBASE, IEEE Xplore and the Cochrane Library for studies published from January 2010 to October 2020.",(1) included patients with histopathological diagnosis of CRC; (2) developed or used a radiomics or deep learning algorithm to assess CT or MRI pre-operative lymph node metastasis detection and (3) published in English language,"(1) case reports, review articles, editorials, letters, comments, and conference abstracts; 
(2) studies focusing on segmentation or feature extraction methods only and 
(3) animal studies",65,The quality of the studies was assessed using a modified questionnaire of the QUADAS-2 criteria. Characteristics and diagnostic measures from each study were extracted.,53,12,,,Radiomics,DL,Radiomics,CNN,77.6,88.9,67.6,93.5,,,,,,,,,,,80.8,91.7,73,0,,0.829,"No significant publication bias (Egger���s intercept 1.11, 95%CI ��� 1.22 to 3.42","No significant publication bias (Egger���s intercept 1.11, 95%CI ��� 1.22 to 3.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,Guha 2022,Classifying primary central nervous system lymphoma from glioblastoma using deep learning and radiomics based machine learning approach - a systematic review and meta-analysis,Tawadod Abdelgader Abdalla Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Partial yes,,No,,Partial Yes,,Yes,,Yes,,No,,Partial Yes,,Includes only NRSI ,,Yes,,No,,No meta-analysis conducted ,,Yes,,Yes,,Yes,,Yes,,No,,Yes,
3104,Guha 2022,Classifying primary central nervous system lymphoma from glioblastoma using deep learning and radiomics based machine learning approach - a systematic review and meta-analysis,JIREGNA OLANI KEDIDA,#3104,Classifying primary central nervous system lymphoma from glioblastoma using deep learning and radiomics based machine learning approach - a systematic review and meta-analysis, To evaluate the deep learning & ML algorithms in classifying PCNSL from GBM,Meta analysis,,The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest,glioblastoma; brain cancer,MRI,Patients of PCNSL & GBM with pathological confirmation of disease those had  had DICOM MR images of the tumour.,All studies reporting on ML algorithms that aimed to differentiate between GBM and PCNSL on MR imaging were included.,"- Studies that compared ML with radiologists were excluded in this meta-analysis in order to maintain homogeneity, and we intend to explore this in a subsequent paper. 
- if they were commentaries, editorials, letters, or case reports Two reviewers (AG and JSG) extracted relevant data from each selected article, including study characteristics and findings of
test results using a standardized data extraction sheet that was verified independently by the third reviewer (A.M",70,"test characteristics such as accuracy, sensitivity, specificity and balanced accuracy.",10,10,1311,,ML,DL,CNN,"SVM, Random Forest, Logistic Regression",92.1,92.1,93.5,93.5,,,,,,,,,,,94.7,94.7,85,85,<0.01,<0.01,,,,,,,93.4,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3076,Jia 2022,Artificial intelligence with magnetic resonance imaging for prediction of pathological complete response to neoadjuvant chemoradiotherapy in rectal cancer: A systematic review and meta-analysis,JIREGNA OLANI KEDIDA,#3076,Artificial intelligence with magnetic resonance imaging for prediction of pathological complete response to neoadjuvant chemoradiotherapy in rectal cancer: A systematic review and meta-analysis,to evaluate the diagnostic accuracy of artificial intelligence (AI) models with magnetic resonance imaging(MRI) in predicting pathological complete response(pCR) to neoadjuvant chemoradiotherapy (nCRT) in patients with rectal cancer,Meta analysis,,The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest,colorectal cancer,MRI; CT scan; PET-CT Scans; Other: rectal ultrasound,a total of 1873 people in the validation groups,"(1): Pathologically proven locally advanced rectal cancer patients (T3/T4 and/or N1+) 
(2); All patients received neoadjuvant chemoradiation treatment (traditional long course and trial regimens were included) 
(3); Use of MRI as the examination modality (if other imaging modalities are used, as long as MRI has been studied separately) 
(4); Predicting pathological responses in patients
 using artificial intelligence models 
(5); Provided the information necessary for the reconstruction of 2 �� 2 contingency tables 
(6); Any study design, including retrospective and prospective observational studies 
(7); the language of the publication was Eng","(1) each study had at least 10 patients 
(2) Case reports, review articles, letters, meeting reports, and editorials 
(3) Studies that included neoadjuvant chemotherapy only 
(4) Studies that included neoadjuvant radiotherapy only 
(5) Classification of patients as responsive and non-responsive, rather than pathological complete and non-pathological complete responses 
(6) No validated studies",1562,Predicting pathological complete response (pCR),90,21,1873,,Radiomics,DL,"Logistic Regression, SVM, RF, LASSO","CNN, 3D RP-Net, U-Net, TsraU-Net",77,79,74,94,3.47,11.66,0.34,0.22,,,,,,,85.38,97.24,61.9,89.5,Deek���s test: 0.20 (no publication,Deek���s test: 0.20 (no publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2928,Kozikowski 2022,Role of Radiomics in the Prediction of Muscle-invasive Bladder Cancer: A Systematic Review and Meta-analysis,Tawadod Abdelgader Abdalla Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Partial Yes,,Yes,,Yes,,No,,Partial Yes,,Includes only NRSI ,,Yes,,Yes,,No meta-analysis conducted ,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
2928,Kozikowski 2022,Role of Radiomics in the Prediction of Muscle-invasive Bladder Cancer: A Systematic Review and Meta-analysis,JIREGNA OLANI KEDIDA,#2928,Role of Radiomics in the Prediction of Muscle-invasive Bladder Cancer: A Systematic Review and Meta-analysis,"To systematically review the diagnostic performance of radiomic techniques
in predicting MIBC.",Meta analysis,None,None,Other: Bladder Cancer,MRI; CT scan,"Patients diagnosed with bladder cancer, specifically focusing on those with muscle-invasive bladder cancer (MIBC).", Studies that evaluated the diagnostic accuracy of radiomic models in predicting MIBC and used pathological examination as the reference standard.,"1. Machine-learning techniques were used to analyze other types of data (histopathological slides or genetic biomarkers) or 
2. Studies predict other outcomes (clinical
outcomes, lymph node metastases, and other cancer types), imaging was done in a different clinical setting (detection or BCa grading or radiotherapy planning), 
3. Studies were of
other publication types (review, conference abstracts, and
editorial), or 
4. Insufficient data were provided to calculate a contingency table",757,The summary estimates for sensitivity and specificity in predicting MIBC,8,8,860,,"SVM, LASSO","LR,RF",RFE,LR,82,82,81,81,,,,,,,,,,,88,88,,,,,Insignificant(p=0.110),Insignificant(p=0.110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,Zheng 2022,Diagnostic Accuracy of Deep Learning and Radiomics in Lung Cancer Staging: A Systematic Review and Meta-Analysis,JIREGNA OLANI KEDIDA,#2813,Diagnostic Accuracy of Deep Learning and Radiomics in Lung Cancer Staging: A Systematic Review and Meta-Analysis,explore the diagnostic accuracy of the models based on deep learning or radiomics for lung cancer staging.,Meta analysis,"This work was supported by the Chengdu Science and Technology Program, Grant no. 2021007 and Sichuan Science and technology plan, Grant no. 2018JY0356",The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,lung cancer,CT scan,74studies,"(1) patients with pathologically diagnosed lung cancer were included in the study;
(2) radiomics or deep learning algorithms applied to lung cancer staging were evaluated.","(1) informal publication types (e.g., reviews, letters to the editor, editorials, conference abstracts); 
(2) only focus on research on image segmentation or image feature extraction methods; 
(3) animal studies. ",68,Lung cancer staging accuracy,29,19,,,Radiomics,DL,"SVM, RF","CNN, TL",78.2,79,71.5,74,,,,,,,,,,,83,76.8,65.3,9.7,0.008,0.0354,,,,,,,63.8,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
